n_neighbor,p,Leaf size,weights_distance,weights_uniform,Algorithm_auto,Algorithm_ball_tree,Algorithm_brute,Algorithm_kd_tree,Accuracy,F1 Score
-1.0786322495415999,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7825661116552399,0.7816866767010671
-1.0786322495415999,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7825661116552399,0.7816866767010671
-1.0786322495415999,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7825661116552399,0.7816866767010671
-1.0786322495415999,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7825661116552399,0.7816866767010671
-1.0786322495415999,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7825661116552399,0.7816866767010671
-1.0786322495415999,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7825661116552399,0.7816866767010671
-1.0786322495415999,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7825661116552399,0.7816866767010671
-1.0786322495415999,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7825661116552399,0.7816866767010671
-0.9466517190079006,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7593046033300686,0.7593517486620955
-0.9466517190079006,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7593046033300686,0.7593517486620955
-0.9466517190079006,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7593046033300686,0.7593517486620955
-0.9466517190079006,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7593046033300686,0.7593517486620955
-0.9466517190079006,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7593046033300686,0.7593517486620955
-0.9466517190079006,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7593046033300686,0.7593517486620955
-0.9466517190079006,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7593046033300686,0.7593517486620955
-0.9466517190079006,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7593046033300686,0.7593517486620955
-0.8146711884742013,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7879529872673849,0.7874085015923344
